X,Y,Z,Yaw
2.25,-3.25,2.25,1.5708
2.25,-3.25,2.75,1.5708
2.75,-2.75,2.75,1.5708
2.75,-3.25,2.25,1.5708
3.25,-3.25,2.25,1.5708
3.25,-3.25,2.75,1.5708
3.75,-3.25,2.75,1.5708
3.75,-3.25,2.25,1.5708
4.25,-3.25,2.25,1.5708
4.25,-3.25,2.75,1.5708
4.75,-3.25,2.75,1.5708
4.75,-3.25,2.75,1.5708
4.75,-2.75,2.25,1.5708
5.25,4.75,2.25,-1.5708
4.75,3.75,2.25,-1.5708
4.25,3.75,2.25,-1.5708
4.25,3.75,2.75,-1.5708
3.75,3.75,2.75,-1.5708
3.75,3.75,2.25,-1.5708
3.25,4.75,2.25,-1.5708
3.25,4.75,2.75,-1.5708
2.75,3.25,2.25,-1.5708
2.25,3.25,2.25,-1.5708
